task,tier,turn,basis,passed,tool_calls
L1_general_001,L1,1,mechanical,True,11
L1_general_001,L1,3,mechanical,True,5
L1_general_002,L1,1,mechanical,True,5
L1_general_002,L1,5,mechanical,False,5
L1_general_003,L1,1,mechanical,False,2
L1_general_003,L1,3,mechanical,True,0
L1_general_003,L1,5,mechanical,True,0
L1_general_004,L1,1,mechanical,True,2
L1_general_004,L1,3,mechanical,True,0
L1_general_004,L1,9,mechanical,False,1
L1_general_005,L1,1,mechanical,True,4
L1_general_005,L1,3,mechanical,True,1
L1_general_006,L1,1,mechanical,False,2
L1_general_006,L1,3,mechanical,True,1
L1_general_006,L1,5,mechanical,False,0
L1_general_006,L1,7,mechanical,False,0
L1_general_006,L1,9,mechanical,True,0
L1_general_007,L1,1,mechanical,True,6
L1_general_007,L1,3,mechanical,True,0
L1_general_007,L1,5,mechanical,True,12
L1_general_007,L1,9,mechanical,True,19
L1_general_008,L1,1,mechanical,True,5
L1_general_008,L1,3,mechanical,False,0
L1_general_009,L1,1,mechanical,True,2
L1_general_009,L1,3,mechanical,True,0
L1_general_009,L1,9,mechanical,True,2
L1_general_010,L1,1,mechanical,True,1
L1_general_010,L1,3,mechanical,False,1
L1_general_011,L1,1,mechanical,True,2
L1_general_011,L1,3,mechanical,True,1
L1_general_011,L1,5,mechanical,True,1
L1_general_012,L1,1,mechanical,True,3
L1_general_012,L1,3,mechanical,True,1
L1_general_013,L1,1,mechanical,True,8
L1_general_013,L1,3,mechanical,False,27
L1_general_014,L1,1,mechanical,True,5
L1_general_014,L1,3,mechanical,True,5
L1_general_014,L1,5,mechanical,False,0
L1_general_015,L1,1,mechanical,True,4
L1_general_015,L1,3,mechanical,True,0
L1_general_016,L1,1,mechanical,True,1
L1_general_016,L1,7,mechanical,True,1
L1_general_016,L1,9,mechanical,False,0
L1_general_017,L1,1,mechanical,True,2
L1_general_017,L1,3,mechanical,False,0
L1_general_018,L1,1,mechanical,True,1
L1_general_018,L1,3,mechanical,True,1
L1_general_018,L1,5,mechanical,True,0
L1_general_018,L1,9,mechanical,True,2
L1_general_019,L1,1,mechanical,True,7
L1_general_019,L1,3,mechanical,True,7
L1_general_020,L1,1,mechanical,True,15
L1_general_020,L1,3,mechanical,True,0
L1_general_021,L1,1,mechanical,True,2
L1_general_021,L1,3,mechanical,True,0
L1_general_022,L1,1,mechanical,True,2
L1_general_023,L1,1,mechanical,True,3
L1_general_023,L1,3,mechanical,False,0
L1_general_024,L1,1,mechanical,True,2
L1_general_024,L1,3,mechanical,False,1
L1_general_025,L1,1,mechanical,True,8
L1_general_026,L1,1,mechanical,True,5
L1_general_026,L1,3,mechanical,True,0
L1_general_026,L1,5,mechanical,False,5
L1_general_026,L1,7,mechanical,False,0
L1_general_026,L1,9,mechanical,False,0
L1_general_027,L1,1,mechanical,True,2
L1_general_027,L1,3,mechanical,True,1
L1_general_027,L1,5,mechanical,True,1
L1_general_027,L1,7,mechanical,False,0
L1_general_027,L1,9,mechanical,False,0
L1_general_028,L1,1,mechanical,True,2
L1_general_028,L1,3,mechanical,True,0
L1_general_029,L1,1,mechanical,True,2
L1_general_029,L1,3,mechanical,True,0
L1_general_029,L1,5,mechanical,True,0
L1_general_030,L1,1,mechanical,False,3
L1_general_030,L1,3,mechanical,True,1
L1_general_030,L1,5,mechanical,False,0
L1_general_030,L1,7,mechanical,True,2
L1_general_030,L1,9,mechanical,False,1
L1_general_031,L1,1,mechanical,True,9
L1_general_032,L1,1,mechanical,False,5
L1_general_032,L1,5,mechanical,True,0
L1_general_032,L1,9,mechanical,False,0
L1_general_033,L1,1,mechanical,True,2
L1_general_033,L1,3,mechanical,True,0
L1_general_034,L1,1,mechanical,True,2
L1_general_034,L1,3,mechanical,True,0
L1_general_035,L1,1,mechanical,False,3
L1_general_035,L1,3,mechanical,True,1
L1_general_036,L1,1,mechanical,True,3
L1_general_036,L1,3,mechanical,True,0
L1_general_036,L1,5,mechanical,False,1
L1_general_037,L1,1,mechanical,True,10
L1_general_037,L1,5,mechanical,True,2
L1_general_037,L1,9,mechanical,False,0
L1_general_038,L1,1,mechanical,True,5
L1_general_038,L1,5,mechanical,False,0
L1_general_038,L1,9,mechanical,True,0
L1_general_039,L1,1,mechanical,True,2
L1_general_039,L1,3,mechanical,True,1
L1_general_039,L1,7,mechanical,True,0
L1_general_040,L1,1,mechanical,True,2
L1_general_041,L1,1,mechanical,True,2
L1_general_041,L1,3,mechanical,True,1
L1_general_041,L1,7,mechanical,False,0
L1_general_042,L1,1,mechanical,True,1
L1_general_042,L1,7,mechanical,False,1
L1_general_042,L1,9,mechanical,True,1
L1_general_043,L1,1,mechanical,True,9
L1_general_043,L1,3,mechanical,True,24
L1_general_044,L1,1,mechanical,True,5
L1_general_044,L1,3,mechanical,False,0
L1_general_044,L1,5,mechanical,False,0
L1_general_045,L1,1,mechanical,True,1
L1_general_045,L1,3,mechanical,True,1
L1_general_046,L1,1,mechanical,True,4
L1_general_047,L1,1,mechanical,True,1
L1_general_047,L1,5,mechanical,False,1
L1_general_047,L1,9,mechanical,True,0
L1_general_048,L1,1,mechanical,True,3
L1_general_048,L1,3,mechanical,False,1
L1_general_048,L1,5,mechanical,True,1
L1_general_049,L1,1,mechanical,True,1
L1_general_049,L1,3,mechanical,True,0
L1_general_050,L1,1,mechanical,True,5
