task,seed,rcrps,error
ATMBuildingClosedTask,1,0.2549722130571741,
ATMUnderPeriodicMaintenanceTaskWithConclusion,1,0.5656223515545548,
ATMUnderPeriodicMaintenanceTaskWithConclusionLessExplicit,1,0.5656223515545548,
ATMUnderPeriodicMaintenanceTaskWithoutConclusion,1,0.5656223515545548,
BoundedPredConstraintsBasedOnPredQuantilesTask,1,0.9588997443041027,
CashDepletedinATMScenarioTask,1,0.2549722130571741,
DecreaseInTrafficInPredictionTask,1,0.15752189357802235,
DiffuseHorizontalIrradianceFromCloudStatus,1,0.4554633606591639,
DirectNormalIrradianceFromClearsky,1,0.19595356841172945,
DirectNormalIrradianceFromCloudStatus,1,2.358765342265495,
ElectricityIncreaseInPredictionTask,1,0.03723190839957924,
ElectricityIncreaseInPredictionWithDistractorText,1,0.03723190839957924,
ElectricityIncreaseInPredictionWithDistractorWithDates,1,0.03723190839957924,
ElectricityIncreaseInPredictionWithSplitContext,1,0.03723190839957924,
ExplicitDiffuseHorizontalIrradianceFromCloudStatus,1,0.4554633606591639,
ExplicitDirectNormalIrradianceFromCloudStatus,1,2.358765342265495,
ExplicitPressureFromSpeedTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
ExplicitSimilarLocationDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
ExplicitTrafficForecastTaskwithHolidaysInPredictionWindow,1,0.3977912354096309,
ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow,1,0.3977912354096309,
ExplicitWithDaysTrafficForecastTaskwithHolidaysInPredictionWindow,1,0.3977912354096309,
FullCausalContextExplicitEquationBivarLinSVAR,1,0.6112161363239694,
FullCausalContextImplicitEquationBivarLinSVAR,1,0.6112161363239694,
GlobalHorizontalIrradianceFromClearsky,1,0.18028578587540378,
ImplicitPressureFromSpeedTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
ImplicitTrafficForecastTaskwithHolidaysInPredictionWindow,1,0.3977912354096309,
IncreasedWithdrawalScenario,1,0.39427447347563954,
LocaleInfoHalfDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
LongNewsElectricityIncreaseInPredictionTask,1,0.03723190839957924,
MediumNewsElectricityIncreaseInPredictionTask,1,0.03723190839957924,
MinimalCausalContextBivarLinSVAR,1,0.6112161363239694,
MinimalInfoHalfDaySolarForecastTask,1,,"AION_ABSTAINED: AMBIGUOUS_FREQUENCY: Could not infer a supported regular frequency. Supported: min (1 minute), 5min (5 minutes), 15min (15 minutes), 30min (30 minutes), h (hourly), D (daily), W (weekly), MS (month start)"
MontrealFireFieldAndGasConvincingToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldAndGasConvincingToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldAndGasNeutralToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldAndGasNeutralToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldAndTrashConvincingToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldAndTrashConvincingToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldAndTrashNeutralToneExplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldAndTrashNeutralToneImplicitCausalConfoundingTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldFireExplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireFieldFireImplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
MontrealFireIceRescueExplicitShortHistoryTask,1,,AION_ABSTAINED: Need at least 9 observations (have 6) for degraded forecasting. A horizon of 4 or less is supportable with the current history; retry with --horizon 4.
